arm,config,seed,requests,planned_in_log,log_coverage,S,S_pct,L,L_pct,X,X_pct,R,R_pct,D,D_pct,U,U_pct
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,1,496,495,0.998,307,61.895,1,0.202,0,0.0,0,0.0,187,37.702,1,0.202
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,2,496,495,0.998,311,62.702,0,0.0,2,0.403,0,0.0,182,36.694,1,0.202
ddqn,MSW_path_sf10_p70_S100_M0_Chain,0,496,495,0.998,378,76.21,0,0.0,0,0.0,0,0.0,117,23.589,1,0.202
ddqn,MSW_path_sf10_p70_S100_M0_Chain,1,496,495,0.998,384,77.419,0,0.0,0,0.0,0,0.0,111,22.379,1,0.202
ddqn,MSW_path_sf10_p70_S100_M0_Chain,2,496,495,0.998,390,78.629,1,0.202,0,0.0,0,0.0,104,20.968,1,0.202
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,0,496,495,0.998,383,77.218,0,0.0,0,0.0,0,0.0,112,22.581,1,0.202
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,1,496,495,0.998,374,75.403,8,1.613,1,0.202,1,0.202,111,22.379,1,0.202
ddqn,MSW_path_sf10_p70_S100_MHigh_Chain,2,496,495,0.998,386,77.823,0,0.0,0,0.0,0,0.0,109,21.976,1,0.202
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,0,495,495,1.0,388,78.384,0,0.0,0,0.0,0,0.0,107,21.616,0,0.0
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,1,495,495,1.0,384,77.576,0,0.0,0,0.0,0,0.0,111,22.424,0,0.0
ddqn,MSW_path_sf10_p70_S100_MLow_Chain,2,495,495,1.0,380,76.768,0,0.0,0,0.0,0,0.0,115,23.232,0,0.0
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,0,496,495,0.998,383,77.218,0,0.0,0,0.0,0,0.0,112,22.581,1,0.202
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,1,496,495,0.998,376,75.806,0,0.0,0,0.0,0,0.0,119,23.992,1,0.202
ddqn,MSW_path_sf10_p70_S100_MMedium_Chain,2,496,495,0.998,376,75.806,0,0.0,0,0.0,0,0.0,119,23.992,1,0.202
ddqn,MSW_path_sf10_p70_S25_M0_Chain,0,496,311,0.627,126,25.403,1,0.202,0,0.0,0,0.0,184,37.097,185,37.298
ddqn,MSW_path_sf10_p70_S25_M0_Chain,1,496,314,0.6331,127,25.605,0,0.0,0,0.0,0,0.0,187,37.702,182,36.694
ddqn,MSW_path_sf10_p70_S25_M0_Chain,2,496,316,0.6371,127,25.605,0,0.0,0,0.0,0,0.0,189,38.105,180,36.29
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,0,496,465,0.9375,163,32.863,16,3.226,8,1.613,54,10.887,224,45.161,31,6.25
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,1,496,465,0.9375,150,30.242,21,4.234,6,1.21,75,15.121,213,42.944,31,6.25
ddqn,MSW_path_sf10_p70_S25_MHigh_Chain,2,496,465,0.9375,139,28.024,12,2.419,11,2.218,67,13.508,236,47.581,31,6.25
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,0,495,426,0.8606,134,27.071,16,3.232,3,0.606,51,10.303,222,44.848,69,13.939
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,1,495,426,0.8606,125,25.253,14,2.828,3,0.606,45,9.091,239,48.283,69,13.939
ddqn,MSW_path_sf10_p70_S25_MLow_Chain,2,495,426,0.8606,113,22.828,13,2.626,9,1.818,47,9.495,244,49.293,69,13.939
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,0,496,433,0.873,136,27.419,1,0.202,2,0.403,50,10.081,247,49.798,60,12.097
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,1,496,437,0.881,131,26.411,13,2.621,4,0.806,68,13.71,221,44.556,59,11.895
ddqn,MSW_path_sf10_p70_S25_MMedium_Chain,2,496,435,0.877,117,23.589,7,1.411,12,2.419,54,10.887,245,49.395,61,12.298
ddqn,MSW_path_sf10_p70_S50_M0_Chain,0,496,493,0.994,313,63.105,1,0.202,0,0.0,0,0.0,179,36.089,3,0.605
ddqn,MSW_path_sf10_p70_S50_M0_Chain,1,496,494,0.996,304,61.29,2,0.403,0,0.0,0,0.0,188,37.903,2,0.403
ddqn,MSW_path_sf10_p70_S50_M0_Chain,2,496,495,0.998,304,61.29,5,1.008,0,0.0,0,0.0,186,37.5,1,0.202
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,0,496,495,0.998,313,63.105,0,0.0,4,0.806,0,0.0,178,35.887,1,0.202
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,1,496,495,0.998,305,61.492,1,0.202,4,0.806,3,0.605,182,36.694,1,0.202
ddqn,MSW_path_sf10_p70_S50_MHigh_Chain,2,496,495,0.998,305,61.492,0,0.0,1,0.202,6,1.21,183,36.895,1,0.202
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,0,495,495,1.0,298,60.202,1,0.202,1,0.202,0,0.0,195,39.394,0,0.0
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,1,495,495,1.0,301,60.808,1,0.202,1,0.202,0,0.0,192,38.788,0,0.0
ddqn,MSW_path_sf10_p70_S50_MLow_Chain,2,495,495,1.0,313,63.232,4,0.808,0,0.0,0,0.0,178,35.96,0,0.0
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,0,496,491,0.9899,291,58.669,4,0.806,0,0.0,3,0.605,193,38.911,5,1.008
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,1,496,490,0.9879,298,60.081,0,0.0,0,0.0,2,0.403,190,38.306,6,1.21
ddqn,MSW_path_sf10_p70_S50_MMedium_Chain,2,496,491,0.9899,283,57.056,6,1.21,0,0.0,1,0.202,201,40.524,5,1.008
ddqn,MSW_path_sf10_p70_S75_M0_Chain,0,496,495,0.998,336,67.742,0,0.0,0,0.0,0,0.0,159,32.056,1,0.202
ddqn,MSW_path_sf10_p70_S75_M0_Chain,1,496,495,0.998,337,67.944,0,0.0,0,0.0,0,0.0,158,31.855,1,0.202
ddqn,MSW_path_sf10_p70_S75_M0_Chain,2,496,495,0.998,329,66.331,0,0.0,0,0.0,0,0.0,166,33.468,1,0.202
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,0,496,495,0.998,326,65.726,0,0.0,0,0.0,0,0.0,169,34.073,1,0.202
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,1,496,495,0.998,331,66.734,1,0.202,2,0.403,1,0.202,160,32.258,1,0.202
ddqn,MSW_path_sf10_p70_S75_MHigh_Chain,2,496,495,0.998,328,66.129,0,0.0,0,0.0,0,0.0,167,33.669,1,0.202
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,0,495,495,1.0,339,68.485,0,0.0,1,0.202,0,0.0,155,31.313,0,0.0
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,1,495,495,1.0,312,63.03,0,0.0,0,0.0,0,0.0,183,36.97,0,0.0
ddqn,MSW_path_sf10_p70_S75_MLow_Chain,2,495,495,1.0,342,69.091,0,0.0,0,0.0,0,0.0,153,30.909,0,0.0
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,0,496,495,0.998,342,68.952,0,0.0,0,0.0,0,0.0,153,30.847,1,0.202
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,1,496,495,0.998,332,66.935,1,0.202,0,0.0,0,0.0,162,32.661,1,0.202
ddqn,MSW_path_sf10_p70_S75_MMedium_Chain,2,496,495,0.998,312,62.903,0,0.0,0,0.0,0,0.0,183,36.895,1,0.202
